timestamp,symbol,open,high,low,close,volume,returns_pct,log_returns,high_low_spread,open_close_spread,rolling_mean_7,rolling_std_7,rolling_std_30,EMA_20,EMA_50,SMA_20,MACD,MACD_signal,MACD_hist,RSI_14,true_range,ATR_14,BB_upper,BB_middle,BB_lower,Bollinger_bandwidth,volatility_20d,volatility_60d,day_of_week,week_of_year,month,is_month_start,is_month_end,target_future_1,target_future_2,target_future_3,target_future_4,target_future_5,target_future_6,target_future_7,source_x,na_sentiment_score_mean_x,na_sentiment_score_std_x,na_sentiment_score_count_x,na_positive_score_mean_x,na_negative_score_mean_x,na_neutral_score_mean_x,source_y,na_sentiment_score_mean_y,na_sentiment_score_std_y,na_sentiment_score_count_y,na_positive_score_mean_y,na_negative_score_mean_y,na_neutral_score_mean_y
2020-12-11,AAPL,119.17976698694284,119.50100803270227,117.349679312027,119.1603012084961,86939800,,,2.1513287206752807,0.0194657784467437,,,,119.1603012084961,119.1603012084961,,0.0,0.0,0.0,,2.1513287206752807,,,,,,,,4,50,12,0,0,118.5470199584961,124.48509216308594,124.41693115234376,125.2833251953125,123.29747009277344,124.82576751708984,128.37889099121094,,,,,,,,,,,,,,
2020-12-14,AAPL,119.3452505477775,120.07533977310264,118.31339348591052,118.5470199584961,79184500,-0.0051466910017869,-0.0051599808346406,1.7619462871921172,0.7982305892814026,,,,119.10189347040084,119.13625096339806,,-0.0489227207977194,-0.0097845441595438,-0.0391381766381755,,1.7619462871921172,,,,,,,,0,51,12,0,0,124.48509216308594,124.41693115234376,125.2833251953125,123.29747009277344,124.82576751708984,128.37889099121094,127.48332214355467,,,,,,,,,,,,,,
2020-12-15,AAPL,121.03906972258224,124.50456537042436,120.83464560664378,124.48509216308594,157243700,0.0500904384325207,0.0488762923007939,3.669919763780598,-3.446022440503711,,,,119.6145790601804,119.3460094418172,,0.3869974056761549,0.0695718458075958,0.317425559868559,,5.95754541192828,,,,,,,,1,51,12,0,0,124.41693115234376,125.2833251953125,123.29747009277344,124.82576751708984,128.37889099121094,127.48332214355467,128.4665069580078,,,,,,,,,,,,,,
2020-12-16,AAPL,124.0275561892667,124.96206204213269,123.2001158255996,124.41693115234376,98208600,-0.0005475435617052,-0.0005476935184223,1.76194621653309,-0.3893749630770458,,,,120.07194592610072,119.5448691167398,,0.7186826958665478,0.1993940158193862,0.5192886800471614,,1.76194621653309,,,,,,,,2,51,12,0,0,125.2833251953125,123.29747009277344,124.82576751708984,128.37889099121094,127.48332214355467,128.4665069580078,133.0612030029297,,,,,,,,,,,,,,
2020-12-17,AAPL,125.47801271123195,126.13996808980455,124.64084302444346,125.2833251953125,94359800,0.0069636345708277,0.0069395004436606,1.499125065361099,0.1946875159194689,,,,120.56826776126374,119.76990661001716,,1.039474026983413,0.3674100180521916,0.6720640089312214,,1.7230369374608046,,,,,,,,3,51,12,0,0,123.29747009277344,124.82576751708984,128.37889099121094,127.48332214355467,128.4665069580078,133.0612030029297,131.28952026367188,,,,,,,,,,,,,,
2020-12-18,AAPL,125.5364133210076,125.67269604688084,122.7718049671832,123.29747009277344,192541500,-0.015850913115877,-0.0159778823454246,2.900891079697644,2.238943228234177,,,,120.8281917928361,119.90824243287037,,1.1205446169495443,0.5180369378316623,0.6025076791178823,,2.900891079697644,,,,,,,,4,51,12,0,0,124.82576751708984,128.37889099121094,127.48332214355467,128.4665069580078,133.0612030029297,131.28952026367188,130.17010498046875,,,,,,,,,,,,,,
2020-12-21,AAPL,121.70098694468902,124.90364547308224,120.17266733587894,124.82576751708984,121251600,0.0123952050530027,0.0123190134597206,4.730978137203294,-3.124780572400823,122.85941532679966,,,121.20891329038407,120.10108655382017,,1.293207185763649,0.6730709874180596,0.6201361983455891,,4.730978137203294,,,,,,,,0,52,12,0,0,128.37889099121094,127.48332214355467,128.4665069580078,133.0612030029297,131.28952026367188,130.17010498046875,129.1673583984375,,,,,,,,,,,,,,
2020-12-22,AAPL,128.11605471749206,130.84172406271304,126.20808171972652,128.37889099121094,168904800,0.0284646635450058,0.0280670722479286,4.633642342986533,-0.2628362737188752,124.17635672433036,0.0222347014936708,,121.89176830951044,120.4257063356786,,1.6971867725334846,0.8778941444411446,0.81929262809234,,6.015956545623197,,,,,,,,1,52,12,0,0,127.48332214355467,128.4665069580078,133.0612030029297,131.28952026367188,130.17010498046875,129.1673583984375,125.9744644165039,,,,,,,,,,,,,,
2020-12-23,AAPL,128.65146195480474,128.91428338608608,127.3080930023302,127.48332214355467,88223700,-0.0069759821162309,-0.0070004280353419,1.606190383755873,1.1681398112500574,125.45297132219586,0.0224644313650761,,122.42429724608608,120.70247558304632,,1.92291244642864,1.0868978048386435,0.8360146415899963,,1.606190383755873,,,,,,,,2,52,12,0,0,128.4665069580078,133.0612030029297,131.28952026367188,130.17010498046875,129.1673583984375,125.9744644165039,127.53202056884766,,,,,,,,,,,,,,
2020-12-24,AAPL,127.83376887622416,129.91695629713385,127.61960817236115,128.4665069580078,54930100,0.0077122622623999,0.0076826747946369,2.297348124772697,-0.6327380817836428,126.02174486432756,0.0142846102093353,,122.99974579007863,121.00694740167224,,2.156280210930447,1.3007742860570044,0.8555059248734427,,2.4336341535791632,,,,,,,,3,52,12,0,0,133.0612030029297,131.28952026367188,130.17010498046875,129.1673583984375,125.9744644165039,127.53202056884766,123.23906707763672,,,,,,,,,,,,,,
2020-12-28,AAPL,130.43288465030292,133.6939410837403,129.96561683148184,133.0612030029297,124486200,0.0357657116529506,0.0351409712090541,3.72832425225846,-2.6283183526267635,127.2566408429827,0.0181710723697908,,123.95797981035015,121.47966330760391,,2.681073668628713,1.5768341625713462,1.1042395060573666,,5.227434125732486,,,,,,,,0,53,12,0,0,131.28952026367188,130.17010498046875,129.1673583984375,125.9744644165039,127.53202056884766,123.23906707763672,127.44437408447266,,,,,,,,,,,,,,
