epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,17.367937088012695,,,,,
0,99,,8.739947319030762,,,,,
0,149,,7.232688903808594,,,,,
0,192,,,10.448309898376465,0.06659382581710815,12.603813171386719,0.06637635827064514,5.97658634185791
0,192,15.70724105834961,,,,,,
1,199,,5.92850923538208,,,,,
1,249,,6.012474536895752,,,,,
1,299,,7.229373931884766,,,,,
1,349,,6.298396587371826,,,,,
1,385,,,8.119473457336426,0.053224269300699234,10.100018501281738,0.05272967740893364,4.649964809417725
1,385,6.1480512619018555,,,,,,
2,399,,6.070676326751709,,,,,
2,449,,5.177908420562744,,,,,
2,499,,6.285176753997803,,,,,
2,549,,5.403104305267334,,,,,
2,578,,,7.588307857513428,0.0662689134478569,9.397324562072754,0.06006038933992386,4.264894962310791
2,578,5.245547294616699,,,,,,
3,599,,6.035549640655518,,,,,
3,649,,5.807663440704346,,,,,
3,699,,4.4991278648376465,,,,,
3,749,,4.5665154457092285,,,,,
3,771,,,8.763435363769531,0.08014149963855743,10.668275833129883,0.09119084477424622,4.6572065353393555
3,771,4.826494216918945,,,,,,
4,799,,4.059235095977783,,,,,
4,849,,6.679437160491943,,,,,
4,899,,4.567097187042236,,,,,
4,949,,5.389674663543701,,,,,
4,964,,,6.968597888946533,0.06277603656053543,8.716203689575195,0.056966014206409454,3.9405641555786133
4,964,4.663033485412598,,,,,,
5,999,,4.682697772979736,,,,,
5,1049,,3.388986587524414,,,,,
5,1099,,3.6914308071136475,,,,,
5,1149,,3.9482438564300537,,,,,
5,1157,,,6.850639343261719,0.04521499574184418,8.608728408813477,0.04386448115110397,3.7575595378875732
5,1157,4.4548115730285645,,,,,,
6,1199,,4.718359470367432,,,,,
6,1249,,4.670564651489258,,,,,
6,1299,,3.781595230102539,,,,,
6,1349,,5.759124755859375,,,,,
6,1350,,,6.9873857498168945,0.06137610599398613,8.728156089782715,0.06755877286195755,3.807119846343994
6,1350,4.276787281036377,,,,,,
7,1399,,5.494556427001953,,,,,
7,1449,,3.546736717224121,,,,,
7,1499,,3.6904995441436768,,,,,
7,1543,,,7.004057884216309,0.042052581906318665,8.786319732666016,0.042378202080726624,3.809910774230957
7,1543,4.278433322906494,,,,,,
8,1549,,3.9593307971954346,,,,,
8,1599,,4.4911298751831055,,,,,
8,1649,,4.326420307159424,,,,,
8,1699,,4.946293354034424,,,,,
8,1736,,,6.702355861663818,0.04249422252178192,8.434157371520996,0.04330975189805031,3.6615748405456543
8,1736,4.144207954406738,,,,,,
9,1749,,4.6852288246154785,,,,,
9,1799,,3.222811698913574,,,,,
9,1849,,3.815948486328125,,,,,
9,1899,,4.072301864624023,,,,,
9,1929,,,7.157492637634277,0.04430137574672699,8.989376068115234,0.04370655119419098,3.8832387924194336
9,1929,4.084697723388672,,,,,,
10,1949,,4.288854122161865,,,,,
10,1999,,3.483065366744995,,,,,
10,2049,,2.8593838214874268,,,,,
10,2099,,2.849778175354004,,,,,
10,2122,,,7.193499565124512,0.06015796214342117,8.912005424499512,0.055360689759254456,3.938770055770874
10,2122,4.071076393127441,,,,,,
11,2149,,4.192562103271484,,,,,
11,2199,,2.931875228881836,,,,,
11,2249,,4.563636302947998,,,,,
11,2299,,3.23854923248291,,,,,
11,2315,,,6.491026878356934,0.038015857338905334,8.227550506591797,0.03781713545322418,3.565075397491455
11,2315,3.9788103103637695,,,,,,
12,2349,,4.041152477264404,,,,,
12,2399,,3.821200370788574,,,,,
12,2449,,5.243305683135986,,,,,
12,2499,,4.3863606452941895,,,,,
12,2508,,,6.950705051422119,0.04988418519496918,8.630746841430664,0.05236177518963814,3.739812135696411
12,2508,3.9551239013671875,,,,,,
13,2549,,3.8342247009277344,,,,,
13,2599,,3.0662686824798584,,,,,
13,2649,,3.6883857250213623,,,,,
13,2699,,5.108303546905518,,,,,
13,2701,,,7.143680572509766,0.05961835756897926,8.841717720031738,0.05549317225813866,3.8960206508636475
13,2701,3.962799310684204,,,,,,
14,2749,,3.9545981884002686,,,,,
14,2799,,3.8395795822143555,,,,,
14,2849,,3.731583595275879,,,,,
14,2894,,,6.217981815338135,0.03832577168941498,7.952818870544434,0.03794476389884949,3.4412946701049805
14,2894,3.926889419555664,,,,,,
15,2899,,5.1309380531311035,,,,,
15,2949,,2.672220468521118,,,,,
15,2999,,4.248862266540527,,,,,
15,3049,,3.889375686645508,,,,,
15,3087,,,6.307196617126465,0.03741328790783882,7.991705894470215,0.03748684003949165,3.407264471054077
15,3087,3.8536393642425537,,,,,,
16,3099,,5.616038799285889,,,,,
16,3149,,3.565540313720703,,,,,
16,3199,,3.492013931274414,,,,,
16,3249,,4.1170525550842285,,,,,
16,3280,,,6.506631851196289,0.04040071368217468,8.263641357421875,0.03983243927359581,3.546074867248535
16,3280,3.8584980964660645,,,,,,
17,3299,,3.3628900051116943,,,,,
17,3349,,4.406187534332275,,,,,
17,3399,,4.038821697235107,,,,,
17,3449,,3.5817859172821045,,,,,
17,3473,,,6.2399821281433105,0.03603087365627289,7.968987941741943,0.03602820634841919,3.405527353286743
17,3473,3.795844316482544,,,,,,
18,3499,,3.7332746982574463,,,,,
18,3549,,3.1369240283966064,,,,,
18,3599,,3.2523908615112305,,,,,
18,3649,,3.7908236980438232,,,,,
18,3666,,,6.063173294067383,0.03686313331127167,7.734942436218262,0.036266669631004333,3.3091461658477783
18,3666,3.8074183464050293,,,,,,
19,3699,,3.725959539413452,,,,,
19,3749,,3.5346357822418213,,,,,
19,3799,,3.4458696842193604,,,,,
19,3849,,4.14590311050415,,,,,
19,3859,,,6.191151142120361,0.03561905771493912,7.842684268951416,0.03595340624451637,3.402894973754883
19,3859,3.74890398979187,,,,,,
20,3899,,3.7630462646484375,,,,,
20,3949,,3.274665594100952,,,,,
20,3999,,2.807899236679077,,,,,
20,4049,,3.892993211746216,,,,,
20,4052,,,6.261180400848389,0.04233299940824509,7.92841100692749,0.04374697804450989,3.3728251457214355
20,4052,3.767578125,,,,,,
21,4099,,3.9185454845428467,,,,,
21,4149,,3.9764950275421143,,,,,
21,4199,,3.22351336479187,,,,,
21,4245,,,6.962574481964111,0.0395306833088398,8.67495346069336,0.038717348128557205,3.669583559036255
21,4245,3.692943572998047,,,,,,
22,4249,,3.67578125,,,,,
22,4299,,3.3679096698760986,,,,,
22,4349,,3.2702417373657227,,,,,
22,4399,,4.375853061676025,,,,,
22,4438,,,6.08220100402832,0.0410454124212265,7.732638359069824,0.039884116500616074,3.3214240074157715
22,4438,3.7355868816375732,,,,,,
23,4449,,2.8269107341766357,,,,,
23,4499,,3.7551794052124023,,,,,
23,4549,,3.586198091506958,,,,,
23,4599,,3.9953410625457764,,,,,
23,4631,,,6.637669086456299,0.03934326767921448,8.34061336517334,0.03870199993252754,3.6042745113372803
23,4631,3.684169292449951,,,,,,
