ticker,date,source,na_sentiment_score_mean,na_sentiment_score_std,na_sentiment_score_count,na_positive_score_mean,na_negative_score_mean,na_neutral_score_mean
AMZN,2026-01-26,newsapi,0.9575919906298319,0.013821772697685454,3,0.016057271820803482,0.9575919906298319,0.02635077542314927
AXP,2026-01-26,newsapi,0.9313957095146179,,1,0.9313957095146179,0.023096291348338127,0.04550791531801224
AXP,2026-01-27,newsapi,0.7570649683475494,0.08336625562030583,2,0.40009089186787605,0.15269507840275764,0.4472140371799469
BAC,2026-01-22,newsapi,0.9331896007061005,0.030768843140044567,2,0.03335817623883486,0.4961446709930897,0.47049717605113983
BAC,2026-01-24,newsapi,0.7929713726043701,,1,0.16690360009670258,0.04012497887015343,0.7929713726043701
BAC,2026-01-26,newsapi,0.8976207375526428,,1,0.0869717225432396,0.015407507307827473,0.8976207375526428
BP,2026-01-22,newsapi,0.9279575645923615,0.023369626709169034,2,0.49785339273512363,0.0327224750071764,0.46942416206002235
BP,2026-01-23,newsapi,0.7656282782554626,0.20382342380413887,2,0.05875651352107525,0.3345422837883234,0.6067011654376984
BP,2026-01-24,newsapi,0.8655779957771301,,1,0.0952514111995697,0.03917062282562256,0.8655779957771301
BP,2026-01-25,newsapi,0.8699269890785217,0.0194736141796705,2,0.08598024398088455,0.044092739932239056,0.8699269890785217
BP,2026-01-26,newsapi,0.7702308495839437,0.0711815296935784,3,0.08776432524124782,0.14200482703745365,0.7702308495839437
BP,2026-01-27,newsapi,0.7398344079653422,0.15820647964447787,6,0.13145003064225116,0.12871558700377742,0.7398344079653422
C,2026-01-27,newsapi,0.8147428706288338,0.12580075412454253,48,0.16309042443754151,0.19486376075656153,0.6420458168722689
CAT,2026-01-22,newsapi,0.8457200467586518,0.11252021390134534,10,0.17051443867385388,0.10999606214463711,0.7194895178079606
CAT,2026-01-23,newsapi,0.8169414877891541,0.1121125152214571,5,0.23912700545042753,0.29811454098671675,0.4627584755420685
CAT,2026-01-24,newsapi,0.8253999054431915,0.10053823040279641,2,0.14027884602546692,0.0343212247826159,0.8253999054431915
CAT,2026-01-25,newsapi,0.7746901313463846,0.23074530586892153,3,0.21173077821731567,0.023169024537007015,0.7651001811027527
CAT,2026-01-26,newsapi,0.8053355912367502,0.168962067359811,6,0.3319399698326985,0.21902415187408528,0.4490358668069045
CAT,2026-01-27,newsapi,0.6987193942070007,0.12141829139473742,5,0.3374653499573469,0.09064211938530206,0.571892537176609
COP,2026-01-23,newsapi,0.6560651063919067,,1,0.02235880121588707,0.6560651063919067,0.3215760588645935
COP,2026-01-24,newsapi,0.8354809284210205,,1,0.8354809284210205,0.010547234676778316,0.1539718508720398
COP,2026-01-26,newsapi,0.786270022392273,0.04256230166671335,3,0.06509219792981942,0.3409313540905714,0.5939764430125555
COST,2026-01-27,newsapi,0.806556538939476,0.14110922075305404,50,0.2582885967660695,0.2734305047616363,0.468280897885561
CRM,2026-01-22,newsapi,0.9133076310157776,0.023053028472157917,5,0.061264178901910785,0.02542820479720831,0.9133076310157776
CRM,2026-01-23,newsapi,0.49969911575317383,,1,0.430224746465683,0.07007613778114319,0.49969911575317383
CRM,2026-01-26,newsapi,0.8565854132175446,0.15494146675435547,2,0.0212537650950253,0.5931822806596756,0.3855639658868313
CRM,2026-01-27,newsapi,0.7211372256278992,,1,0.7211372256278992,0.00762519333511591,0.2712375223636627
CVX,2026-01-24,newsapi,0.7543087005615234,,1,0.18720592558383942,0.058485377579927444,0.7543087005615234
CVX,2026-01-25,newsapi,0.7367034554481506,0.1413111337990838,2,0.1563982516527176,0.10689830221235752,0.7367034554481506
CVX,2026-01-26,newsapi,0.9484027624130249,0.02405160486492381,2,0.47009697929024696,0.494253053329885,0.03564996458590031
CVX,2026-01-27,newsapi,0.7735912203788757,0.1067379053782034,2,0.4115207754075527,0.12473894562572241,0.4637402892112732
DE,2026-01-26,newsapi,0.8287183847278357,0.15893930643235313,16,0.2360265398165211,0.23475787736242637,0.529215587885119
DE,2026-01-27,newsapi,0.8399063836444508,0.09621743577322102,33,0.20086310372095217,0.22916259769011627,0.5699742922390049
GE,2026-01-22,newsapi,0.8124905973672867,0.18474684269612132,8,0.37311281403526664,0.2787435468053445,0.3481436361325905
GE,2026-01-23,newsapi,0.9301315347353617,0.017913117906850597,3,0.3419263958930969,0.03129754215478897,0.6267760569850603
GE,2026-01-25,newsapi,0.9177516400814056,0.010826134536447818,2,0.06790355034172535,0.014344819821417332,0.9177516400814056
