epoch,lr-Adam,step,target_future_1 val_MAE,target_future_1 val_MAPE,target_future_1 val_RMSE,target_future_1 val_SMAPE,target_future_2 val_MAE,target_future_2 val_MAPE,target_future_2 val_RMSE,target_future_2 val_SMAPE,target_future_3 val_MAE,target_future_3 val_MAPE,target_future_3 val_RMSE,target_future_3 val_SMAPE,target_future_4 val_MAE,target_future_4 val_MAPE,target_future_4 val_RMSE,target_future_4 val_SMAPE,target_future_5 val_MAE,target_future_5 val_MAPE,target_future_5 val_RMSE,target_future_5 val_SMAPE,target_future_6 val_MAE,target_future_6 val_MAPE,target_future_6 val_RMSE,target_future_6 val_SMAPE,target_future_7 val_MAE,target_future_7 val_MAPE,target_future_7 val_RMSE,target_future_7 val_SMAPE,train_loss_epoch,train_loss_step,val_loss
,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17710231244564056,
0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12169485539197922,
0,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10912713408470154,
0,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07379847764968872,
0,,208,0.011012343689799309,203.55654907226562,0.014978558756411076,1.7617950439453125,0.016280876472592354,431.0017395019531,0.021560629829764366,1.599060297012329,0.020239798352122307,636.0565795898438,0.02641216851770878,1.6866463422775269,0.023778866976499557,889.3875122070312,0.03047431819140911,1.5787650346755981,0.026687651872634888,314.8907470703125,0.03391319513320923,1.7018780708312988,0.029540080577135086,813.1204223632812,0.03726107254624367,1.6985774040222168,0.032044243067502975,906.7780151367188,0.04010513052344322,1.6840553283691406,,,0.08928224444389343
0,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12448355555534363,,
,0.001,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08945582062005997,
1,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06817617267370224,
1,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07711772620677948,
1,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08729339390993118,
